gu,year,public_culture_facilities,public_culture_facilities_per100k,resident_population_2023,public_libraries_total,public_libraries_per100k,public_libraries,small_libraries_total,public_performance_halls,public_performance_halls_per100k,public_performance_spaces,public_museums_galleries,local_culture_welfare_facilities,life_culture_centers,barrier_free_indoor_culture_spaces,culture_policy_ordinance_count,culture_budget_ratio,culture_budget_amount,library_reading_culture_budget,library_reading_culture_budget_ratio,certified_artists,new_artists,disabled_artists,culture_art_businesses,festival_count,festival_budget,performance_ticket_sales_amount,culture_environment_satisfaction,culture_activity_satisfaction,culture_importance,culture_voucher_usage,vulnerable_group_culture_participation_rate,libraries_total,libraries_per100k,national_libraries,education_office_libraries,local_government_libraries,private_public_libraries,public_small_libraries,private_small_libraries,public_performance_spaces_per100k,public_museums_galleries_per100k,public_museums_total,national_museums,local_public_museums,public_galleries_total,national_galleries,local_public_galleries,local_culture_welfare_facilities_per100k,regional_culture_welfare_subtotal,culture_centers,welfare_centers,multipurpose_sports_facilities,youth_training_facilities,culture_dissemination_training_subtotal,local_culture_centers,korean_music_centers,training_centers,life_culture_center_names,barrier_free_indoor_culture_spaces_per100k,culture_policy_revision_count,source,source_page,note
종로구,2023,62,44.5,139417,29,20.8,9,20,12,8.6,27,12,9,2,16,20,,,,,,,,,,,,,,,,,29,20.8,0,3,3,3,13,7,19.4,8.6,10,5,5,2,1,1,6.5,5,1,1,3,0,4,1,1,2,서울생활문화센터 낙원|서울생활문화센터 체부,10.6,3,2023 서울문화지표 조사연구.pdf,"본문 p.33,35,38,40,43,46,52,309,318 / PDF p.55,57,60,62,65,68,74,331,340",1차 자동/수동 병행 추출. 문화예산·예술인·시장·향유 직접값은 후속 검수 필요. barrier_free는 원표상 문화관련 장애물 없는 생활환경 인증시설 전체.
중구,2023,65,53.6,121312,26,21.4,9,17,14,11.5,18,8,17,2,15,15,,,,,,,,,,,,,,,,,26,21.4,0,0,8,1,12,5,14.8,6.6,5,3,2,3,1,2,14.0,15,1,3,7,4,2,1,1,0,신당 생활문화예술터 일상|신당누리센터,11.3,2,2023 서울문화지표 조사연구.pdf,"본문 p.33,35,38,40,43,46,52,309,318 / PDF p.55,57,60,62,65,68,74,331,340",1차 자동/수동 병행 추출. 문화예산·예술인·시장·향유 직접값은 후속 검수 필요. barrier_free는 원표상 문화관련 장애물 없는 생활환경 인증시설 전체.
용산구,2023,46,21.6,213151,29,13.6,4,25,5,2.3,18,3,9,0,5,15,,,,,,,,,,,,,,,,,29,13.6,0,2,2,0,16,9,8.4,1.4,3,2,1,0,0,0,4.2,8,1,2,2,3,1,1,0,0,,2.2,8,2023 서울문화지표 조사연구.pdf,"본문 p.33,35,38,40,43,46,52,309,318 / PDF p.55,57,60,62,65,68,74,331,340",1차 자동/수동 병행 추출. 문화예산·예술인·시장·향유 직접값은 후속 검수 필요. barrier_free는 원표상 문화관련 장애물 없는 생활환경 인증시설 전체.
성동구,2023,53,19.1,277361,35,12.6,7,28,2,0.7,1,2,14,2,11,14,,,,,,,,,,,,,,,,,35,12.6,0,0,7,0,16,12,0.4,0.7,2,0,2,0,0,0,5.0,13,2,3,6,2,1,1,0,0,성동아이사랑복합문화센터|서울숲 생활문화센터,3.8,3,2023 서울문화지표 조사연구.pdf,"본문 p.33,35,38,40,43,46,52,309,318 / PDF p.55,57,60,62,65,68,74,331,340",1차 자동/수동 병행 추출. 문화예산·예술인·시장·향유 직접값은 후속 검수 필요. barrier_free는 원표상 문화관련 장애물 없는 생활환경 인증시설 전체.
광진구,2023,47,14.0,335554,32,9.5,7,25,4,1.2,2,1,10,2,15,9,,,,,,,,,,,,,,,,,32,9.5,0,0,7,0,13,12,0.6,0.3,1,0,1,0,0,0,3.0,9,1,3,4,1,1,1,0,0,광진종합문화센터|광진구 평생학습센터,4.2,2,2023 서울문화지표 조사연구.pdf,"본문 p.33,35,38,40,43,46,52,309,318 / PDF p.55,57,60,62,65,68,74,331,340",1차 자동/수동 병행 추출. 문화예산·예술인·시장·향유 직접값은 후속 검수 필요. barrier_free는 원표상 문화관련 장애물 없는 생활환경 인증시설 전체.
동대문구,2023,48,14.1,341149,40,11.7,9,31,0,,7,1,7,0,22,14,,,,,,,,,,,,,,,,,40,11.7,0,1,8,0,13,18,2.1,0.3,1,0,1,0,0,0,2.1,6,0,2,3,1,1,1,0,0,,6.1,5,2023 서울문화지표 조사연구.pdf,"본문 p.33,35,38,40,43,46,52,309,318 / PDF p.55,57,60,62,65,68,74,331,340",1차 자동/수동 병행 추출. 문화예산·예술인·시장·향유 직접값은 후속 검수 필요. barrier_free는 원표상 문화관련 장애물 없는 생활환경 인증시설 전체.
중랑구,2023,59,15.4,382155,49,12.8,5,44,1,0.3,0,0,9,1,15,16,,,,,,,,,,,,,,,,,49,12.8,0,0,5,0,19,25,0.0,,0,0,0,0,0,0,2.4,8,0,4,2,2,1,1,0,0,중랑생활문화센터,3.8,10,2023 서울문화지표 조사연구.pdf,"본문 p.33,35,38,40,43,46,52,309,318 / PDF p.55,57,60,62,65,68,74,331,340",1차 자동/수동 병행 추출. 문화예산·예술인·시장·향유 직접값은 후속 검수 필요. barrier_free는 원표상 문화관련 장애물 없는 생활환경 인증시설 전체.
성북구,2023,86,20.2,425602,62,14.6,13,49,7,1.6,2,5,12,2,21,18,,,,,,,,,,,,,,,,,62,14.6,0,0,13,0,14,35,0.5,1.2,1,0,1,4,0,4,2.8,11,0,5,3,3,1,1,0,0,동네마당 뜰안|돌곶이생활예술문화센터,4.7,3,2023 서울문화지표 조사연구.pdf,"본문 p.33,35,38,40,43,46,52,309,318 / PDF p.55,57,60,62,65,68,74,331,340",1차 자동/수동 병행 추출. 문화예산·예술인·시장·향유 직접값은 후속 검수 필요. barrier_free는 원표상 문화관련 장애물 없는 생활환경 인증시설 전체.
강북구,2023,58,20.1,288113,44,15.3,7,37,4,1.4,1,0,10,0,12,16,,,,,,,,,,,,,,,,,44,15.3,0,0,7,0,13,24,0.3,,0,0,0,0,0,0,3.5,9,1,4,2,2,1,1,0,0,,4.0,4,2023 서울문화지표 조사연구.pdf,"본문 p.33,35,38,40,43,46,52,309,318 / PDF p.55,57,60,62,65,68,74,331,340",1차 자동/수동 병행 추출. 문화예산·예술인·시장·향유 직접값은 후속 검수 필요. barrier_free는 원표상 문화관련 장애물 없는 생활환경 인증시설 전체.
도봉구,2023,60,19.5,306948,43,14.0,9,34,4,1.3,3,1,12,1,19,19,,,,,,,,,,,,,,,,,43,14.0,0,1,8,0,18,16,1.0,0.3,1,0,1,0,0,0,3.9,11,0,3,2,6,1,1,0,0,숲속애,6.1,4,2023 서울문화지표 조사연구.pdf,"본문 p.33,35,38,40,43,46,52,309,318 / PDF p.55,57,60,62,65,68,74,331,340",1차 자동/수동 병행 추출. 문화예산·예술인·시장·향유 직접값은 후속 검수 필요. barrier_free는 원표상 문화관련 장애물 없는 생활환경 인증시설 전체.
